N,step,magnetization,M_up,M_down,max_bond_dimension,step_seconds
6,0,-1.0,0,0,1,0.0
6,1,-0.7499999999999991,2,2,3,0.06204983300995082
6,2,-0.5629143502436684,4,4,9,0.0671679170045536
6,3,-0.5353055355049048,6,6,27,0.10689254099270329
10,0,-1.0,0,0,1,0.0
10,1,-0.7500000000000002,2,2,3,0.26602466698386706
10,2,-0.555771059474217,4,4,9,0.2719899170042481
10,3,-0.4617694422713294,6,6,27,0.33837058299104683
10,4,-0.43905080885377074,8,8,81,1.317442375002429
10,5,-0.41018622211076217,10,10,238,14.01502133300528
14,0,-1.0,0,0,1,0.0
14,1,-0.7499999999999988,2,2,3,0.7479850420204457
14,2,-0.5543000269973024,4,4,9,0.7598289159941487
14,3,-0.4503588334535126,6,6,27,0.881168791995151
14,4,-0.4036609569250183,8,8,81,2.6985623329819646
14,5,-0.3529829756322861,10,10,260,30.468154957983643
18,0,-1.0,0,0,1,0.0
18,1,-0.7499999999999988,2,2,3,2.0341800000169314
18,2,-0.5537324662554605,4,4,9,1.9779971250100061
18,3,-0.44651107371521725,6,6,27,2.2372969999851193
18,4,-0.39319176429795555,8,8,81,6.434744041005615
18,5,-0.3364958802880568,10,10,266,62.43124775000615
